,age,workclass,fnlwgt,education,education.num,marital.status,occupation_category,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
10659,young adult,Private,198452,HS-grad,9,Married-civ-spouse,Blue Collar,Farming-fishing,Wife,White,Female,0,0,40,United-States,0
10660,adult,Private,193895,Some-college,10,Widowed,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0
10661,adult,Private,378747,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,Black,Male,0,0,40,United-States,0
10662,adult,Private,31251,Assoc-voc,11,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,37,United-States,0
10663,young adult,Private,71540,Some-college,10,Divorced,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
10664,adult,Self-emp-not-inc,36480,10th,6,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,0
10665,young,Private,116528,Some-college,10,Never-married,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,0
10666,late adulthood,Private,52152,Masters,14,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
10667,late adulthood,Private,216690,Some-college,10,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,?,0
10668,adult,Local-gov,227065,Masters,14,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,22,United-States,0
10669,adult,Private,84013,HS-grad,9,Divorced,Service,Other-service,Unmarried,White,Female,0,0,35,United-States,0
10670,young adult,Self-emp-inc,82051,Some-college,10,Married-civ-spouse,Service,Sales,Wife,White,Female,0,0,40,United-States,0
10671,young adult,Self-emp-not-inc,176185,Assoc-acdm,12,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,60,Iran,0
10672,adult,Private,115414,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
10673,adult,Private,354923,Assoc-acdm,12,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
10674,young,Private,393712,HS-grad,9,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
10675,young adult,Private,98941,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10676,adult,Private,141483,Some-college,10,Divorced,White Collar,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
10677,young adult,Private,226145,Some-college,10,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,0
10678,young adult,Private,394612,Bachelors,13,Never-married,White Collar,Tech-support,Own-child,Black,Male,0,0,40,United-States,0
10679,young adult,Private,231085,Some-college,10,Never-married,Service,Other-service,Own-child,White,Male,0,0,30,United-States,0
10680,adult,Self-emp-not-inc,183810,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
10681,young,Private,186159,Some-college,10,Never-married,Service,Sales,Not-in-family,White,Female,0,0,40,United-States,0
10682,young adult,Private,162282,Some-college,10,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,White,Male,0,0,25,United-States,0
10683,young adult,Private,273206,Bachelors,13,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,23,United-States,0
10684,young adult,Private,102729,Some-college,10,Never-married,Service,Sales,Own-child,White,Female,0,0,15,United-States,0
10685,adult,Private,198096,Some-college,10,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,United-States,1
10686,young adult,State-gov,292933,Bachelors,13,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,10,United-States,0
10687,young,Private,135924,HS-grad,9,Never-married,White Collar,Adm-clerical,Own-child,White,Male,0,0,20,United-States,0
10688,young adult,Private,27409,9th,5,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,50,United-States,0
10689,young adult,Private,299507,Assoc-acdm,12,Separated,Service,Other-service,Unmarried,White,Female,0,0,40,United-States,0
10690,late adulthood,Self-emp-not-inc,102631,Some-college,10,Widowed,Blue Collar,Farming-fishing,Unmarried,White,Female,0,0,50,United-States,0
10691,adult,Private,153486,Some-college,10,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
10692,young adult,Private,434292,HS-grad,9,Married-civ-spouse,Service,Other-service,Husband,Black,Male,0,0,30,United-States,0
10693,young adult,Self-emp-not-inc,240172,Masters,14,Never-married,White Collar,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
10694,adult,Private,219426,10th,6,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
10695,adult,Private,295791,HS-grad,9,Divorced,White Collar,Tech-support,Not-in-family,White,Female,0,0,30,United-States,0
10696,young adult,Local-gov,496382,Some-college,10,Married-spouse-absent,White Collar,Adm-clerical,Own-child,White,Female,0,0,40,Guatemala,0
10697,young adult,Private,376483,Bachelors,13,Married-civ-spouse,White Collar,Adm-clerical,Wife,Black,Female,0,0,30,United-States,0
10698,young adult,Private,107218,HS-grad,9,Never-married,Service,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,0
10699,young adult,Private,246207,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,0
10700,young,?,80564,HS-grad,9,Never-married,,Other,Own-child,White,Male,0,0,60,United-States,0
10701,young adult,Local-gov,328301,Bachelors,13,Divorced,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,0
10702,young adult,Local-gov,301614,11th,7,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,United-States,0
10703,young adult,Private,121040,Assoc-acdm,12,Never-married,White Collar,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,0
10704,young adult,Private,125550,HS-grad,9,Divorced,Service,Sales,Not-in-family,White,Female,0,0,60,United-States,0
10705,young adult,Private,170772,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,50,United-States,0
10706,young adult,Private,180551,HS-grad,9,Divorced,White Collar,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
10707,young adult,Self-emp-not-inc,48189,HS-grad,9,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,30,United-States,0
10708,young,Private,432154,HS-grad,9,Never-married,Service,Sales,Own-child,White,Female,0,0,8,Mexico,0
10709,young adult,Private,263200,Some-college,10,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
10710,adult,Private,123207,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,20,United-States,1
10711,young,Private,110798,11th,7,Never-married,Service,Sales,Own-child,White,Female,0,0,20,United-States,0
10712,young adult,Private,185528,Some-college,10,Divorced,Service,Sales,Own-child,White,Female,0,0,35,United-States,0
10713,young adult,Private,181311,11th,7,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
10714,young adult,Private,528616,5th-6th,3,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,Mexico,0
10715,young adult,Private,272950,Bachelors,13,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,45,United-States,1
10716,young adult,?,195532,HS-grad,9,Never-married,,Other,Own-child,White,Female,0,0,40,United-States,0
10717,young adult,Private,197583,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
10718,adult,Private,48612,HS-grad,9,Never-married,White Collar,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,0
10719,late adulthood,?,170182,Some-college,10,Never-married,,Other,Unmarried,Black,Female,0,0,40,United-States,0
10720,young adult,Local-gov,230885,Bachelors,13,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,45,United-States,1
10721,adult,Private,174102,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1
10722,young adult,Private,352606,HS-grad,9,Divorced,Service,Priv-house-serv,Unmarried,White,Female,0,0,40,United-States,0
10723,young adult,Private,241153,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,48,United-States,1
10724,adult,Private,155433,HS-grad,9,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,35,United-States,0
10725,adult,Private,125461,Assoc-voc,11,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,42,United-States,0
10726,young,Private,331556,10th,6,Never-married,Service,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
10727,young adult,?,138575,HS-grad,9,Never-married,,Other,Other-relative,White,Male,0,0,60,United-States,0
10728,young adult,Private,223514,Bachelors,13,Married-civ-spouse,White Collar,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0
10729,adult,Private,147206,12th,8,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
10730,young adult,Private,174592,Some-college,10,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
10731,young adult,Private,268620,HS-grad,9,Divorced,Service,Other-service,Not-in-family,White,Female,0,0,45,United-States,0
10732,late adulthood,Self-emp-not-inc,150886,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,25,United-States,0
10733,adult,Private,112362,10th,6,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,0
10734,late adulthood,Private,195507,HS-grad,9,Widowed,,Protective-serv,Not-in-family,White,Male,0,0,55,United-States,0
10735,adult,Private,192983,HS-grad,9,Separated,Service,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
10736,young,Private,120544,9th,5,Never-married,Service,Other-service,Own-child,Black,Male,0,0,15,United-States,0
10737,young adult,Private,59083,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
10738,adult,Private,208277,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Wife,White,Female,0,0,45,United-States,1
10739,young adult,Local-gov,184678,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
10740,young adult,Private,278736,Assoc-voc,11,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0
10741,adult,Local-gov,39464,Masters,14,Never-married,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,52,United-States,0
10742,young adult,Private,162343,Bachelors,13,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,Dominican-Republic,0
10743,adult,Private,204046,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10744,young adult,Private,255647,HS-grad,9,Married-civ-spouse,Service,Other-service,Wife,White,Female,0,0,25,Mexico,0
10745,adult,Private,123011,HS-grad,9,Divorced,Blue Collar,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,1
10746,late adulthood,Self-emp-not-inc,291362,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
10747,young adult,Private,159187,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,1
10748,young adult,State-gov,126414,Bachelors,13,Married-spouse-absent,White Collar,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
10749,young adult,Private,227626,HS-grad,9,Divorced,Blue Collar,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
10750,late adulthood,Private,211075,HS-grad,9,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
10751,adult,Private,331651,Some-college,10,Separated,Service,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
10752,young adult,Private,515025,10th,6,Married-civ-spouse,Blue Collar,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,0
10753,adult,Private,394474,Assoc-acdm,12,Never-married,White Collar,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
10754,young adult,Self-emp-not-inc,337505,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,South,0
10755,adult,Private,211860,HS-grad,9,Separated,White Collar,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
10756,young adult,Private,102684,Some-college,10,Never-married,Blue Collar,Transport-moving,Not-in-family,White,Male,0,0,32,United-States,0
10757,late adulthood,?,225657,HS-grad,9,Married-civ-spouse,,Other,Husband,White,Male,0,0,24,United-States,0
10758,young adult,Private,121966,HS-grad,9,Divorced,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
10759,young adult,Private,396790,HS-grad,9,Never-married,Blue Collar,Transport-moving,Own-child,Black,Male,0,0,20,United-States,0
10760,adult,Local-gov,149949,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
10761,young adult,Private,252187,11th,7,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
10762,young adult,Private,209934,5th-6th,3,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,Mexico,0
10763,young adult,Federal-gov,229300,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,0
10764,adult,Private,200618,Assoc-acdm,12,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
10765,young adult,Private,216984,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
10766,adult,Private,212760,HS-grad,9,Divorced,Blue Collar,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
10767,young adult,Private,150309,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,45,United-States,0
10768,adult,Private,174655,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
10769,young adult,Private,109621,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10770,adult,Private,225124,HS-grad,9,Widowed,Blue Collar,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
10771,adult,Private,172695,11th,7,Widowed,Service,Other-service,Not-in-family,White,Female,0,0,27,El-Salvador,0
10772,late adulthood,Self-emp-not-inc,238479,10th,6,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,8,United-States,0
10773,young adult,Private,37754,Some-college,10,Married-civ-spouse,Blue Collar,Farming-fishing,Husband,White,Male,0,0,80,United-States,0
10774,adult,Private,85018,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
10775,late adulthood,Private,256466,HS-grad,9,Married-civ-spouse,White Collar,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,60,Philippines,1
10776,young adult,Private,169188,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Wife,White,Female,0,0,25,United-States,0
10777,young adult,Private,210945,Bachelors,13,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
10778,young adult,Local-gov,287031,Masters,14,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
10779,young adult,Private,224361,HS-grad,9,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
10780,young adult,Federal-gov,108464,Assoc-acdm,12,Married-civ-spouse,White Collar,Tech-support,Husband,White,Male,0,0,40,United-States,0
10781,young adult,Private,75826,Bachelors,13,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
10782,adult,Private,120277,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,1
10783,young adult,Private,104439,Some-college,10,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0
10784,young adult,Private,56870,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
10785,young adult,Private,200819,12th,8,Never-married,Service,Sales,Not-in-family,White,Male,0,0,40,United-States,0
10786,adult,Self-emp-not-inc,170562,Assoc-acdm,12,Married-civ-spouse,,Protective-serv,Husband,White,Male,0,0,20,United-States,0
10787,young adult,Private,80933,HS-grad,9,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10788,young adult,Private,33088,11th,7,Never-married,Blue Collar,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
10789,young adult,Private,177651,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
10790,young adult,Private,261943,Some-college,10,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
10791,adult,Private,169785,Some-college,10,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,40,Italy,0
10792,young,Private,141481,11th,7,Married-civ-spouse,Service,Sales,Other-relative,White,Female,0,0,50,United-States,0
10793,young adult,Private,433491,HS-grad,9,Never-married,Service,Other-service,Own-child,White,Male,0,0,40,United-States,0
10794,young adult,Local-gov,86615,HS-grad,9,Never-married,Service,Other-service,Own-child,Black,Male,0,0,30,United-States,0
10795,young adult,Private,125550,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
10796,adult,State-gov,421223,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
10797,young adult,Private,26999,Bachelors,13,Separated,White Collar,Exec-managerial,Unmarried,White,Female,0,0,42,United-States,0
10798,young adult,?,133861,HS-grad,9,Married-civ-spouse,,Other,Husband,White,Male,0,0,25,United-States,0
10799,adult,Private,115323,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
10800,young adult,Self-emp-inc,23778,Bachelors,13,Divorced,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
10801,young adult,Self-emp-not-inc,190836,HS-grad,9,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,50,United-States,1
10802,young adult,Self-emp-inc,159179,Prof-school,15,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
10803,late adulthood,?,205479,Bachelors,13,Married-civ-spouse,,Other,Husband,White,Male,0,0,50,United-States,1
10804,young,?,47713,Some-college,10,Never-married,,Other,Own-child,White,Female,0,0,40,United-States,0
10805,young adult,Private,163237,Bachelors,13,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,52,United-States,1
10806,late adulthood,Private,202202,HS-grad,9,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
10807,adult,Private,168837,Some-college,10,Divorced,Service,Sales,Unmarried,White,Female,0,0,40,United-States,0
10808,young adult,Private,112271,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,40,United-States,0
10809,young adult,Private,52537,HS-grad,9,Never-married,Blue Collar,Transport-moving,Unmarried,Black,Male,0,0,30,United-States,0
10810,young adult,Private,38353,Assoc-voc,11,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,60,United-States,0
10811,young adult,Private,141698,10th,6,Never-married,Blue Collar,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
10812,young adult,Private,28856,Bachelors,13,Never-married,White Collar,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
10813,young,Private,175652,11th,7,Never-married,Service,Other-service,Other-relative,White,Female,0,0,15,United-States,0
10814,young adult,Private,213008,HS-grad,9,Divorced,Blue Collar,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
10815,adult,Private,92463,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
10816,young,State-gov,125165,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,25,United-States,0
10817,adult,Self-emp-not-inc,103980,Assoc-voc,11,Married-civ-spouse,White Collar,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
10818,adult,?,180362,Bachelors,13,Never-married,,Other,Own-child,White,Female,0,0,40,United-States,0
10819,young adult,Private,53903,Some-college,10,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10820,adult,Private,179735,Assoc-voc,11,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,0
10821,adult,?,277390,Bachelors,13,Married-civ-spouse,,Other,Wife,White,Female,0,0,30,United-States,1
10822,adult,Private,122177,HS-grad,9,Never-married,Blue Collar,Handlers-cleaners,Own-child,White,Male,0,0,80,United-States,0
10823,adult,Private,188161,HS-grad,9,Separated,Blue Collar,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,0
10824,young adult,Self-emp-not-inc,170108,HS-grad,9,Separated,Service,Sales,Not-in-family,White,Male,0,0,50,United-States,0
10825,young adult,Private,175262,Some-college,10,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,Black,Male,0,0,40,Mexico,0
10826,young,?,204441,HS-grad,9,Never-married,,Other,Other-relative,Black,Male,0,0,20,United-States,0
10827,young,Private,164395,HS-grad,9,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,25,United-States,0
10828,young,Private,115630,11th,7,Never-married,White Collar,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,0
10829,young adult,Private,178815,HS-grad,9,Never-married,Service,Sales,Not-in-family,White,Male,0,0,55,United-States,0
10830,late adulthood,Self-emp-not-inc,168223,Bachelors,13,Divorced,White Collar,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,0
10831,young adult,Private,100295,7th-8th,4,Married-civ-spouse,Blue Collar,Machine-op-inspct,Wife,White,Female,0,0,50,Canada,1
10832,young adult,Private,172256,HS-grad,9,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,1
10833,adult,Private,51664,Some-college,10,Married-civ-spouse,Service,Sales,Husband,White,Male,0,0,40,United-States,0
10834,young adult,Private,115963,11th,7,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10835,young adult,Private,333910,Some-college,10,Never-married,White Collar,Tech-support,Not-in-family,White,Female,0,0,43,United-States,0
10836,young adult,Private,148948,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
10837,adult,State-gov,130561,Some-college,10,Never-married,White Collar,Prof-specialty,Not-in-family,Black,Female,0,0,24,United-States,0
10838,adult,Private,428350,HS-grad,9,Married-civ-spouse,Service,Other-service,Own-child,White,Female,0,0,15,United-States,0
10839,adult,Private,188808,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
10840,young adult,Private,112847,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Own-child,Other,Male,0,0,40,United-States,0
10841,adult,Private,110748,Some-college,10,Never-married,White Collar,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
10842,late adulthood,Self-emp-inc,156653,HS-grad,9,Divorced,Service,Sales,Not-in-family,White,Male,0,0,55,United-States,0
10843,young adult,Private,196491,Bachelors,13,Never-married,Service,Sales,Not-in-family,White,Male,0,0,50,United-States,0
10844,late adulthood,Local-gov,254413,Some-college,10,Divorced,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
10845,adult,Private,91262,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,45,United-States,0
10846,adult,Self-emp-not-inc,154785,Bachelors,13,Married-civ-spouse,Blue Collar,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,80,Thailand,0
10847,adult,Private,84231,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,50,United-States,0
10848,young adult,Private,226327,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
10849,adult,Private,248406,Some-college,10,Divorced,Blue Collar,Machine-op-inspct,Own-child,White,Male,0,0,32,United-States,0
10850,young adult,?,32732,Some-college,10,Never-married,,Other,Own-child,White,Male,0,0,50,United-States,0
10851,young,Private,95918,9th,5,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
10852,adult,Local-gov,375675,12th,8,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,35,United-States,1
10853,adult,Private,244172,HS-grad,9,Separated,Blue Collar,Transport-moving,Unmarried,White,Male,0,0,40,Mexico,0
10854,adult,Federal-gov,233555,HS-grad,9,Divorced,White Collar,Adm-clerical,Unmarried,Black,Female,0,0,40,?,0
10855,young adult,Private,77271,HS-grad,9,Never-married,White Collar,Exec-managerial,Unmarried,White,Female,0,0,20,England,0
10856,young adult,Private,33397,HS-grad,9,Divorced,Service,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
10857,young adult,Private,446358,HS-grad,9,Never-married,White Collar,Adm-clerical,Unmarried,White,Male,0,0,41,United-States,0
10858,young adult,Private,151810,HS-grad,9,Never-married,Blue Collar,Machine-op-inspct,Not-in-family,Black,Male,0,0,28,United-States,0
10859,adult,Private,125461,Masters,14,Married-civ-spouse,White Collar,Exec-managerial,Husband,White,Male,0,0,35,United-States,1
10860,young adult,Private,133906,HS-grad,9,Divorced,White Collar,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
10861,adult,Private,155106,HS-grad,9,Married-civ-spouse,Blue Collar,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
10862,young adult,Private,232766,Some-college,10,Never-married,White Collar,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
10863,adult,Private,305319,7th-8th,4,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10864,young,Private,121023,Some-college,10,Never-married,White Collar,Adm-clerical,Own-child,White,Female,0,0,15,United-States,0
10865,young adult,Private,198997,HS-grad,9,Married-civ-spouse,White Collar,Adm-clerical,Wife,White,Female,0,0,20,United-States,0
10866,young,Private,38772,10th,6,Never-married,Blue Collar,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States,0
10867,adult,Private,253759,HS-grad,9,Never-married,Service,Sales,Unmarried,Black,Female,0,0,40,United-States,0
10868,young adult,Private,130067,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Female,0,0,65,United-States,0
10869,young adult,Private,203828,9th,5,Married-civ-spouse,Blue Collar,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10870,late adulthood,State-gov,221558,Masters,14,Separated,White Collar,Prof-specialty,Unmarried,White,Female,0,0,24,?,0
10871,young adult,Private,156464,10th,6,Divorced,Service,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
10872,adult,Private,72333,Some-college,10,Divorced,White Collar,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,0
10873,young adult,Local-gov,83671,Bachelors,13,Never-married,White Collar,Prof-specialty,Not-in-family,Black,Female,0,0,50,United-States,0
10874,young,Private,91928,Some-college,10,Never-married,Service,Other-service,Other-relative,White,Female,0,0,35,United-States,0
10875,adult,Private,99203,7th-8th,4,Married-civ-spouse,Blue Collar,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
10876,young adult,Self-emp-inc,455995,Some-college,10,Never-married,White Collar,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,1
10877,late adulthood,Private,192515,HS-grad,9,Widowed,Blue Collar,Farming-fishing,Unmarried,White,Female,0,0,40,United-States,0
10878,young,Private,221129,9th,5,Married-civ-spouse,Service,Other-service,Husband,White,Male,0,0,40,United-States,0
10879,late adulthood,Private,85413,HS-grad,9,Married-civ-spouse,Blue Collar,Transport-moving,Husband,White,Male,0,0,44,United-States,1
